,dataset,combina_1,train.shape,test.shape,f1,recall,combinations,combina_2,media,desviacion,minimimo,maximo,folds,elapsed
0,davincis22,0,"(2521, 2)","(841, 2)",0.7445263970746885,0.744888850986412,[],0,0.7472896449204397,0.012736952246872432,0.7303584520577802,0.7621576177691769,"[0.7437667410055813, 0.7303584520577802, 0.7383478312560684, 0.7618175825135918, 0.7621576177691769]",30.417722194921225
1,davincis22,1,"(2521, 2)","(841, 2)",0.7469140008403456,0.7472795497185741,['metwo22'],1,0.7472209473611355,0.012726116612269868,0.7303584520577802,0.7639063120285827,"[0.7437667410055813, 0.7303584520577802, 0.7383478312560684, 0.7597254004576658, 0.7639063120285827]",138.90877745090984
2,davincis22,2,"(2521, 2)","(841, 2)",0.7445263970746885,0.744888850986412,['misogyny_centrogeo'],2,0.746524496481701,0.01360904469608681,0.7322677322677322,0.7661549687310394,"[0.7437667410055813, 0.7324416835699796, 0.7322677322677322, 0.7579913568341725, 0.7661549687310394]",196.396195077803
3,davincis22,3,"(2521, 2)","(841, 2)",0.748888117933435,0.7488032292910342,['mexa3t18_aggress'],3,0.7485160508443156,0.013332645950155476,0.7324416835699796,0.7643889452332657,"[0.7438755410872462, 0.7324416835699796, 0.7377991874729456, 0.7640748968581403, 0.7643889452332657]",213.07849643402733
4,davincis22,4,"(2521, 2)","(841, 2)",0.7432936048781527,0.7436067997043607,['meoffendes21'],4,0.7457410033216771,0.014285132896682323,0.7280863218026024,0.7640748968581403,"[0.7438755410872462, 0.7327635327635327, 0.7280863218026024, 0.7599047240968638, 0.7640748968581403]",206.7516542270314
5,davincis22,5,"(2521, 2)","(841, 2)",0.749224713740458,0.7494968446187958,['haha21'],5,0.7459231406675444,0.016592407400271365,0.7276887871853548,0.7719094878920207,"[0.7479455608000032, 0.728448275862069, 0.7276887871853548, 0.7536235915982751, 0.7719094878920207]",218.01079195388593
6,davincis22,6,"(2521, 2)","(841, 2)",0.7409835972505487,0.7413895048041389,['exist21'],6,0.7463415382005107,0.01488115993015362,0.7286159986063381,0.7656419529837251,"[0.7420391676097071, 0.7286159986063381, 0.7335929892891919, 0.7618175825135918, 0.7656419529837251]",214.88420665590093
7,davincis22,7,"(2521, 2)","(841, 2)",0.7457580931537646,0.7461709022684633,['detoxis21_aggressiveness'],7,0.7473565363073295,0.013964075486435405,0.7303584520577802,0.769991785420908,"[0.7401008089070131, 0.7303584520577802, 0.7404284989858012, 0.7559031361651448, 0.769991785420908]",216.83588206511922
8,davincis22,8,"(2521, 2)","(841, 2)",0.0,0.0,[],8,0.0,0.0,0.0,0.0,[],0.0
9,davincis22,9,"(2521, 2)","(841, 2)",0.7514521170787155,0.7515407356870771,"['detoxis21_aggressiveness', 'exist21', 'haha21', 'meoffendes21', 'mexa3t18_aggress']",9,0.7470921221078185,0.017420225819037415,0.7242757242757243,0.7734741363880436,"[0.7400068383055151, 0.7242757242757243, 0.7377991874729456, 0.7599047240968638, 0.7734741363880436]",998.9326954539865
